Series_4_1
Sweep_4_1_1	  7.727659600E+04	 21:27:56.596	 2018/05/28 21:27:56.596
"Index"	 "Time[s]"       	 "Imon-1[A]"     	 "Time[s]"       	 "Emon-1[V]"     
    217	  2.170000000E+00	  8.243959959E-10	  2.170000000E+00	  2.988439798E-01
    218	  2.180000000E+00	  8.252389883E-10	  2.180000000E+00	  2.985313833E-01
    219	  2.190000000E+00	  8.244271932E-10	  2.190000000E+00	  2.982187867E-01
    220	  2.200000000E+00	  8.251453409E-10	  2.200000000E+00	  2.985313833E-01
    221	  2.210000000E+00	  8.246145433E-10	  2.210000000E+00	  2.985313833E-01
    222	  2.220000000E+00	  8.243647431E-10	  2.220000000E+00	  2.985313833E-01
    223	  2.230000000E+00	  8.252077910E-10	  2.230000000E+00	  2.982187867E-01
    224	  2.240000000E+00	  8.242710958E-10	  2.240000000E+00	  2.982187867E-01
    225	  2.250000000E+00	  8.248643435E-10	  2.250000000E+00	  2.979061902E-01
    226	  2.260000000E+00	  8.243022931E-10	  2.260000000E+00	  2.988439798E-01
    227	  2.270000000E+00	  8.240212956E-10	  2.270000000E+00	  2.991565764E-01
    228	  2.280000000E+00	  8.247394434E-10	  2.280000000E+00	  2.985313833E-01
    229	  2.290000000E+00	  8.237402982E-10	  2.290000000E+00	  2.985313833E-01
    230	  2.300000000E+00	  8.244896432E-10	  2.300000000E+00	  2.979061902E-01
    231	  2.310000000E+00	  8.239900984E-10	  2.310000000E+00	  2.994691730E-01
    232	  2.320000000E+00	  8.237714955E-10	  2.320000000E+00	  2.982187867E-01
    233	  2.330000000E+00	  8.244896432E-10	  2.330000000E+00	  2.985313833E-01
    234	  2.340000000E+00	  8.235216953E-10	  2.340000000E+00	  2.979061902E-01
    235	  2.350000000E+00	  8.241461957E-10	  2.350000000E+00	  2.985313833E-01
    236	  2.360000000E+00	  8.238651983E-10	  2.360000000E+00	  2.985313833E-01
    237	  2.370000000E+00	  8.234280480E-10	  2.370000000E+00	  2.985313833E-01
    238	  2.380000000E+00	  8.242086458E-10	  2.380000000E+00	  2.988439798E-01
    239	  2.390000000E+00	  8.232719506E-10	  2.390000000E+00	  2.994691730E-01
    240	  2.400000000E+00	  8.238963956E-10	  2.400000000E+00	  2.988439798E-01
    241	  2.410000000E+00	  8.232406978E-10	  2.410000000E+00	  2.979061902E-01
    242	  2.420000000E+00	  8.229597004E-10	  2.420000000E+00	  2.985313833E-01
    243	  2.430000000E+00	  8.238027482E-10	  2.430000000E+00	  2.994691730E-01
    244	  2.440000000E+00	  8.228659976E-10	  2.440000000E+00	  2.994691730E-01
    245	  2.450000000E+00	  8.235841453E-10	  2.450000000E+00	  2.985313833E-01
    246	  2.460000000E+00	  8.231470505E-10	  2.460000000E+00	  2.988439798E-01
    247	  2.470000000E+00	  8.227411530E-10	  2.470000000E+00	  2.982187867E-01
    248	  2.480000000E+00	  8.234904980E-10	  2.480000000E+00	  2.985313833E-01
    249	  2.490000000E+00	  8.225538028E-10	  2.490000000E+00	  2.985313833E-01
    250	  2.500000000E+00	  8.232719506E-10	  2.500000000E+00	  2.988439798E-01
    251	  2.510000000E+00	  8.226787029E-10	  2.510000000E+00	  2.972809970E-01
    252	  2.520000000E+00	  8.224601000E-10	  2.520000000E+00	  2.985313833E-01
    253	  2.530000000E+00	  8.233031479E-10	  2.530000000E+00	  2.985313833E-01
    254	  2.540000000E+00	  8.223040027E-10	  2.540000000E+00	  2.985313833E-01
    255	  2.550000000E+00	  8.230221504E-10	  2.550000000E+00	  2.994691730E-01
    256	  2.560000000E+00	  8.224913528E-10	  2.560000000E+00	  2.982187867E-01
    257	  2.570000000E+00	  8.223040027E-10	  2.570000000E+00	  2.982187867E-01
    258	  2.580000000E+00	  8.230533477E-10	  2.580000000E+00	  2.988439798E-01
    259	  2.590000000E+00	  8.221479053E-10	  2.590000000E+00	  2.988439798E-01
    260	  2.600000000E+00	  8.228036030E-10	  2.600000000E+00	  2.985313833E-01
    261	  2.610000000E+00	  8.221479053E-10	  2.610000000E+00	  2.988439798E-01
    262	  2.620000000E+00	  8.218981051E-10	  2.620000000E+00	  2.985313833E-01
    263	  2.630000000E+00	  8.229908977E-10	  2.630000000E+00	  2.985313833E-01
    264	  2.640000000E+00	  8.220230052E-10	  2.640000000E+00	  2.994691730E-01
    265	  2.650000000E+00	  8.227411530E-10	  2.650000000E+00	  2.975935936E-01
    266	  2.660000000E+00	  8.220854553E-10	  2.660000000E+00	  2.994691730E-01
    267	  2.670000000E+00	  8.218044023E-10	  2.670000000E+00	  2.988439798E-01
    268	  2.680000000E+00	  8.226162529E-10	  2.680000000E+00	  2.994691730E-01
    269	  2.690000000E+00	  8.216171077E-10	  2.690000000E+00	  2.985313833E-01
    270	  2.700000000E+00	  8.222415526E-10	  2.700000000E+00	  2.994691730E-01
    271	  2.710000000E+00	  8.217107550E-10	  2.710000000E+00	  2.982187867E-01
    272	  2.720000000E+00	  8.216171077E-10	  2.720000000E+00	  2.982187867E-01
    273	  2.730000000E+00	  8.225225501E-10	  2.730000000E+00	  2.979061902E-01
    274	  2.740000000E+00	  8.214922076E-10	  2.740000000E+00	  2.982187867E-01
    275	  2.750000000E+00	  8.221479053E-10	  2.750000000E+00	  2.982187867E-01
    276	  2.760000000E+00	  8.215546576E-10	  2.760000000E+00	  2.979061902E-01
    277	  2.770000000E+00	  8.210238600E-10	  2.770000000E+00	  2.988439798E-01
    278	  2.780000000E+00	  8.218668524E-10	  2.780000000E+00	  2.988439798E-01
    279	  2.790000000E+00	  8.211799574E-10	  2.790000000E+00	  2.982187867E-01
    280	  2.800000000E+00	  8.218668524E-10	  2.800000000E+00	  2.982187867E-01
    281	  2.810000000E+00	  8.213048575E-10	  2.810000000E+00	  2.988439798E-01
    282	  2.820000000E+00	  8.209614100E-10	  2.820000000E+00	  2.985313833E-01
    283	  2.830000000E+00	  8.216795022E-10	  2.830000000E+00	  2.985313833E-01
    284	  2.840000000E+00	  8.207740598E-10	  2.840000000E+00	  2.988439798E-01
    285	  2.850000000E+00	  8.215858549E-10	  2.850000000E+00	  2.982187867E-01
    286	  2.860000000E+00	  8.211487046E-10	  2.860000000E+00	  2.985313833E-01
    287	  2.870000000E+00	  8.206803570E-10	  2.870000000E+00	  2.985313833E-01
    288	  2.880000000E+00	  8.215546576E-10	  2.880000000E+00	  2.985313833E-01
    289	  2.890000000E+00	  8.206491597E-10	  2.890000000E+00	  2.979061902E-01
    290	  2.900000000E+00	  8.213048575E-10	  2.900000000E+00	  2.997817695E-01
    291	  2.910000000E+00	  8.207428071E-10	  2.910000000E+00	  2.979061902E-01
    292	  2.920000000E+00	  8.204930069E-10	  2.920000000E+00	  2.985313833E-01
    293	  2.930000000E+00	  8.213985048E-10	  2.930000000E+00	  2.985313833E-01
    294	  2.940000000E+00	  8.202744595E-10	  2.940000000E+00	  2.982187867E-01
    295	  2.950000000E+00	  8.209301572E-10	  2.950000000E+00	  2.985313833E-01
    296	  2.960000000E+00	  8.206179070E-10	  2.960000000E+00	  2.994691730E-01
    297	  2.970000000E+00	  8.203057122E-10	  2.970000000E+00	  2.988439798E-01
    298	  2.980000000E+00	  8.210550573E-10	  2.980000000E+00	  2.994691730E-01
    299	  2.990000000E+00	  8.200559121E-10	  2.990000000E+00	  2.982187867E-01
    300	  3.000000000E+00	  8.206803570E-10	  3.000000000E+00	  2.985313833E-01
    301	  3.010000000E+00	  8.202432622E-10	  3.010000000E+00	  2.988439798E-01
    302	  3.020000000E+00	  8.198685619E-10	  3.020000000E+00	  2.985313833E-01
    303	  3.030000000E+00	  8.208052571E-10	  3.030000000E+00	  2.988439798E-01
    304	  3.040000000E+00	  8.199310120E-10	  3.040000000E+00	  2.982187867E-01
    305	  3.050000000E+00	  8.206179070E-10	  3.050000000E+00	  2.982187867E-01
    306	  3.060000000E+00	  8.201808122E-10	  3.060000000E+00	  2.985313833E-01
    307	  3.070000000E+00	  8.198997592E-10	  3.070000000E+00	  2.982187867E-01
    308	  3.080000000E+00	  8.207428071E-10	  3.080000000E+00	  2.994691730E-01
    309	  3.090000000E+00	  8.197124646E-10	  3.090000000E+00	  2.988439798E-01
    310	  3.100000000E+00	  8.202432622E-10	  3.100000000E+00	  2.988439798E-01
    311	  3.110000000E+00	  8.196500145E-10	  3.110000000E+00	  2.988439798E-01
    312	  3.120000000E+00	  8.196812118E-10	  3.120000000E+00	  2.988439798E-01
    313	  3.130000000E+00	  8.205242596E-10	  3.130000000E+00	  2.994691730E-01
    314	  3.140000000E+00	  8.196187617E-10	  3.140000000E+00	  2.991565764E-01
