Index	Distance (m)	Current (A)	Distance (m)	N/A
287	2.88705E-05	1.4909E-09	2.88705E-05	287
288	0.00002897	1.4907E-09	0.00002897	288
289	0.000029069	1.4905E-09	0.000029069	289
290	2.91685E-05	1.4903E-09	2.91685E-05	290
291	2.92675E-05	1.4902E-09	2.92675E-05	291
292	2.93665E-05	1.4900E-09	2.93665E-05	292
293	0.000029466	1.4898E-09	0.000029466	293
294	0.000029565	1.4896E-09	0.000029565	294
295	2.96645E-05	1.4894E-09	2.96645E-05	295
296	2.97635E-05	1.4892E-09	2.97635E-05	296
297	2.98625E-05	1.4891E-09	2.98625E-05	297
298	0.000029962	1.4889E-09	0.000029962	298
299	0.000030061	1.4888E-09	0.000030061	299
300	3.01605E-05	1.4885E-09	3.01605E-05	300
301	3.02595E-05	1.4884E-09	3.02595E-05	301
302	3.03585E-05	1.4882E-09	3.03585E-05	302
303	0.000030458	1.4881E-09	0.000030458	303
304	0.000030557	1.4879E-09	0.000030557	304
305	3.06565E-05	1.4877E-09	3.06565E-05	305
306	3.07555E-05	1.4876E-09	3.07555E-05	306
307	3.08545E-05	1.4874E-09	3.08545E-05	307
308	0.000030954	1.4872E-09	0.000030954	308
309	0.000031053	1.4871E-09	0.000031053	309
310	3.11525E-05	1.4870E-09	3.11525E-05	310
311	3.12515E-05	1.4867E-09	3.12515E-05	311
312	3.13505E-05	1.4866E-09	3.13505E-05	312
313	0.00003145	1.4864E-09	0.00003145	313
314	0.000031549	1.4863E-09	0.000031549	314
315	3.16485E-05	1.4861E-09	3.16485E-05	315
316	3.17475E-05	1.4859E-09	3.17475E-05	316
317	3.18465E-05	1.4858E-09	3.18465E-05	317
318	0.000031946	1.4856E-09	0.000031946	318
319	0.000032045	1.4855E-09	0.000032045	319
320	3.21445E-05	1.4854E-09	3.21445E-05	320
321	3.22435E-05	1.4852E-09	3.22435E-05	321
322	3.23425E-05	1.4851E-09	3.23425E-05	322
323	0.000032442	1.4849E-09	0.000032442	323
324	0.000032541	1.4848E-09	0.000032541	324
325	3.26405E-05	1.4847E-09	3.26405E-05	325
326	3.27395E-05	1.4844E-09	3.27395E-05	326
327	3.28385E-05	1.4843E-09	3.28385E-05	327
328	0.000032938	1.4842E-09	0.000032938	328
329	0.000033037	1.4841E-09	0.000033037	329
330	3.31365E-05	1.4839E-09	3.31365E-05	330
331	3.32355E-05	1.4838E-09	3.32355E-05	331
332	3.33345E-05	1.4836E-09	3.33345E-05	332
333	0.000033434	1.4835E-09	0.000033434	333
334	0.000033533	1.4834E-09	0.000033533	334
335	3.36325E-05	1.4832E-09	3.36325E-05	335
336	3.37315E-05	1.4831E-09	3.37315E-05	336
337	3.38305E-05	1.4829E-09	3.38305E-05	337
338	0.00003393	1.4829E-09	0.00003393	338
339	0.000034029	1.4827E-09	0.000034029	339
340	3.41285E-05	1.4826E-09	3.41285E-05	340
341	3.42275E-05	1.4825E-09	3.42275E-05	341
342	3.43265E-05	1.4824E-09	3.43265E-05	342
343	0.000034426	1.4822E-09	0.000034426	343
344	0.000034525	1.4821E-09	0.000034525	344
345	0.000034624	1.4819E-09	0.000034624	345
346	3.47235E-05	1.4818E-09	3.47235E-05	346
347	3.48225E-05	1.4817E-09	3.48225E-05	347
348	0.000034922	1.4816E-09	0.000034922	348
349	0.000035021	1.4815E-09	0.000035021	349
350	0.00003512	1.4813E-09	0.00003512	350
351	3.52195E-05	1.4812E-09	3.52195E-05	351
352	3.53185E-05	1.4810E-09	3.53185E-05	352
353	0.000035418	1.4809E-09	0.000035418	353
354	0.000035517	1.4808E-09	0.000035517	354
355	0.000035616	1.4807E-09	0.000035616	355
356	3.57155E-05	1.4805E-09	3.57155E-05	356
357	3.58145E-05	1.4805E-09	3.58145E-05	357
358	0.000035914	1.4803E-09	0.000035914	358
359	0.000036013	1.4802E-09	0.000036013	359
360	0.000036112	1.4801E-09	0.000036112	360
361	3.62115E-05	1.4800E-09	3.62115E-05	361
362	3.63105E-05	1.4799E-09	3.63105E-05	362
363	0.00003641	1.4797E-09	0.00003641	363
364	0.000036509	1.4796E-09	0.000036509	364
365	0.000036608	1.4795E-09	0.000036608	365
366	3.67075E-05	1.4794E-09	3.67075E-05	366
367	3.68065E-05	1.4793E-09	3.68065E-05	367
368	0.000036906	1.4791E-09	0.000036906	368
369	0.000037005	1.4791E-09	0.000037005	369
370	0.000037104	1.4789E-09	0.000037104	370
371	3.72035E-05	1.4788E-09	3.72035E-05	371
372	3.73025E-05	1.4787E-09	3.73025E-05	372
373	0.000037402	1.4786E-09	0.000037402	373
374	0.000037501	1.4786E-09	0.000037501	374
375	0.0000376	1.4784E-09	0.0000376	375
376	3.76995E-05	1.4783E-09	3.76995E-05	376
377	3.77985E-05	1.4781E-09	3.77985E-05	377
378	0.000037898	1.4781E-09	0.000037898	378
379	0.000037997	1.4780E-09	0.000037997	379
380	0.000038096	1.4779E-09	0.000038096	380
381	3.81955E-05	1.4778E-09	3.81955E-05	381
382	3.82945E-05	1.4777E-09	3.82945E-05	382
383	0.000038394	1.4775E-09	0.000038394	383
384	0.000038493	1.4775E-09	0.000038493	384
385	0.000038592	1.4774E-09	0.000038592	385
386	3.86915E-05	1.4773E-09	3.86915E-05	386
387	3.87905E-05	1.4772E-09	3.87905E-05	387
388	0.00003889	1.4771E-09	0.00003889	388
389	0.000038989	1.4770E-09	0.000038989	389
390	0.000039088	1.4769E-09	0.000039088	390
391	3.91875E-05	1.4768E-09	3.91875E-05	391
392	3.92865E-05	1.4767E-09	3.92865E-05	392
393	0.000039386	1.4766E-09	0.000039386	393
394	0.000039485	1.4764E-09	0.000039485	394
395	0.000039584	1.4764E-09	0.000039584	395
